Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserModule,Chrome 63.0.3239.108,,2018-01-03 13:54:51,2018-01-03 14:01:08,"6m - 16,913s",FAILED
,,,,,,
Test Cases/UsersModule/Create/Create user with empty name,Chrome 63.0.3239.108,,2018-01-03 13:54:52,2018-01-03 13:55:24,"31,673s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:54:53,2018-01-03 13:55:11,"18,025s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:55:11,2018-01-03 13:55:14,"3,006s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:55:14,2018-01-03 13:55:14,"0,240s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:55:14,2018-01-03 13:55:17,"3,003s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 13:55:17,2018-01-03 13:55:18,"1,250s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E,2018-01-03 13:55:18,2018-01-03 13:55:18,"0,371s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:55:18,2018-01-03 13:55:22,"3,003s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F \u0431\u0435\u0437 \u0438\u043C\u0435\u043D\u0438,2018-01-03 13:55:22,2018-01-03 13:55:22,"0,249s",PASSED
click,Chrome 63.0.3239.108,\u041D\u0430\u0436\u0438\u043C\u0430\u0435\u043C \u043A\u043D\u043E\u043F\u043A\u0443 \u0414\u043E\u0431\u0430\u0432\u0438\u0442\u044C,2018-01-03 13:55:22,2018-01-03 13:55:22,"0,628s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043D\u0430\u043B\u0438\u0447\u0438\u0435 \u043E\u0448\u0438\u0431\u043A\u0438,2018-01-03 13:55:22,2018-01-03 13:55:23,"0,571s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 13:55:23,2018-01-03 13:55:24,"0,624s",PASSED
,,,,,,
Test Cases/UsersModule/Create/Create existing user,Chrome 63.0.3239.108,,2018-01-03 13:55:24,2018-01-03 13:55:50,"26,479s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:55:24,2018-01-03 13:55:39,"15,461s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:55:39,2018-01-03 13:55:42,"3,002s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:55:42,2018-01-03 13:55:43,"0,252s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:55:43,2018-01-03 13:55:46,"3,003s",PASSED
setText,Chrome 63.0.3239.108,\u0417\u0430\u0434\u0430\u0435\u043C \u0438\u043C\u044F \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:55:46,2018-01-03 13:55:46,"0,503s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:55:46,2018-01-03 13:55:46,"0,321s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:55:46,2018-01-03 13:55:49,"3,002s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043D\u0430\u043B\u0438\u0447\u0438\u0435 \u043E\u043A\u043D\u0430 \u043E\u0448\u0438\u0431\u043A\u0438,2018-01-03 13:55:49,2018-01-03 13:55:50,"0,041s",PASSED
closeBrowser,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E,2018-01-03 13:55:50,2018-01-03 13:55:50,"0,609s",PASSED
,,,,,,
Test Cases/UsersModule/Create/Create Valid User,Chrome 63.0.3239.108,,2018-01-03 13:55:50,2018-01-03 13:56:20,"29,592s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:55:50,2018-01-03 13:56:05,"14,274s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:56:05,2018-01-03 13:56:08,"3,002s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:56:08,2018-01-03 13:56:08,"0,225s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:56:08,2018-01-03 13:56:11,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0417\u0430\u0434\u0430\u0435\u043C \u0438\u043C\u044F \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:56:11,2018-01-03 13:56:12,"0,560s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:56:12,2018-01-03 13:56:12,"0,305s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:56:12,2018-01-03 13:56:15,"3,002s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430 \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:56:15,2018-01-03 13:56:16,"1,309s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:56:16,2018-01-03 13:56:19,"3,002s",PASSED
closeBrowser,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E,2018-01-03 13:56:19,2018-01-03 13:56:20,"0,622s",PASSED
,,,,,,
Test Cases/UsersModule/Edit/Delete name,Chrome 63.0.3239.108,,2018-01-03 13:56:20,2018-01-03 13:56:39,"18,950s",FAILED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:56:20,2018-01-03 13:56:34,"14,130s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:56:34,2018-01-03 13:56:37,"3,002s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:56:37,2018-01-03 13:56:38,"0,645s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u0445\u043E\u0434\u0438\u043C \u0432 \u0440\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u043E\u0432\u0430\u043D\u0438\u0435,2018-01-03 13:56:38,2018-01-03 13:56:38,"0,156s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,,2018-01-03 13:56:38,2018-01-03 13:56:38,"0,273s",PASSED
setText,Chrome 63.0.3239.108,\u0423\u0434\u0430\u043B\u044F\u0435\u043C \u0438\u043C\u044F \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:56:38,2018-01-03 13:56:39,"0,503s",FAILED
,,,,,,
Test Cases/UsersModule/Edit/Change password,Chrome 63.0.3239.108,,2018-01-03 13:56:39,2018-01-03 13:57:05,"26,141s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:56:39,2018-01-03 13:56:54,"14,630s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:56:54,2018-01-03 13:56:57,"3,005s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:56:57,2018-01-03 13:56:57,"0,706s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u0445\u043E\u0434\u0438\u043C \u0432 \u0440\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u043E\u0432\u0430\u043D\u0438\u0435,2018-01-03 13:56:57,2018-01-03 13:56:58,"0,153s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,,2018-01-03 13:56:58,2018-01-03 13:56:58,"0,269s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:56:58,2018-01-03 13:57:01,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u0413\u0435\u043D\u0435\u0440\u0438\u043C \u043D\u043E\u0432\u044B\u0439 \u043F\u0430\u0440\u043E\u043B\u044C,2018-01-03 13:57:01,2018-01-03 13:57:01,"0,118s",PASSED
click,Chrome 63.0.3239.108,\u0421\u043E\u0445\u0440\u0430\u043D\u044F\u0435\u043C,2018-01-03 13:57:01,2018-01-03 13:57:01,"0,388s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430 \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u0430\u0440\u043E\u043B\u044F,2018-01-03 13:57:01,2018-01-03 13:57:01,"0,002s",NOT_RUN
delay,Chrome 63.0.3239.108,,2018-01-03 13:57:01,2018-01-03 13:57:04,"3,001s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 13:57:04,2018-01-03 13:57:05,"0,614s",PASSED
,,,,,,
Test Cases/UsersModule/Edit/Change name,Chrome 63.0.3239.108,,2018-01-03 13:57:05,2018-01-03 13:57:31,"26,399s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:57:05,2018-01-03 13:57:23,"18,021s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:57:23,2018-01-03 13:57:26,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:57:26,2018-01-03 13:57:27,"0,638s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u0445\u043E\u0434\u0438\u043C \u0432 \u0440\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u043E\u0432\u0430\u043D\u0438\u0435,2018-01-03 13:57:27,2018-01-03 13:57:27,"0,141s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 13:57:27,2018-01-03 13:57:27,"0,255s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:57:27,2018-01-03 13:57:30,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u041C\u0435\u043D\u044F\u0435\u043C \u0438\u043C\u044F \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:57:30,2018-01-03 13:57:31,"0,280s",PASSED
click,Chrome 63.0.3239.108,\u0421\u043E\u0445\u0440\u0430\u043D\u044F\u0435\u043C \u0438\u0437\u043C\u0435\u043D\u0435\u043D\u0438\u044F,2018-01-03 13:57:31,2018-01-03 13:57:31,"0,201s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043D\u0430\u043B\u0438\u0447\u0438\u0435 \u0441\u043E\u043E\u0431\u0449\u0435\u043D\u0438\u044F \u043E\u0431 \u0443\u0441\u043F\u0435\u0445\u0435,2018-01-03 13:57:31,2018-01-03 13:57:31,"0,001s",NOT_RUN
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 13:57:31,2018-01-03 13:57:31,"0,616s",PASSED
,,,,,,
Test Cases/UsersModule/Search/Search not existing user,Chrome 63.0.3239.108,,2018-01-03 13:57:31,2018-01-03 13:57:50,"18,566s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:57:32,2018-01-03 13:57:45,"13,713s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:57:45,2018-01-03 13:57:46,"0,707s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,"\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C, \u0447\u0442\u043E \u0442\u0430\u043A\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F \u043D\u0435 \u043D\u0430\u0439\u0434\u0435\u043D\u043E",2018-01-03 13:57:46,2018-01-03 13:57:46,"0,274s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:57:46,2018-01-03 13:57:49,"3,002s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 13:57:49,2018-01-03 13:57:50,"0,652s",PASSED
,,,,,,
Test Cases/UsersModule/Search/Search user,Chrome 63.0.3239.108,,2018-01-03 13:57:50,2018-01-03 13:58:14,"23,572s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:57:50,2018-01-03 13:58:03,"13,162s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:58:03,2018-01-03 13:58:06,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u0441\u043E\u0437\u0434\u0430\u043D\u043D\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:58:06,2018-01-03 13:58:07,"0,590s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:58:07,2018-01-03 13:58:10,"3,001s",PASSED
click,Chrome 63.0.3239.108,"\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C, \u0447\u0442\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044C \u0431\u044B\u043B \u043D\u0430\u0439\u0434\u0435\u043D",2018-01-03 13:58:10,2018-01-03 13:58:10,"0,001s",NOT_RUN
delay,Chrome 63.0.3239.108,,2018-01-03 13:58:10,2018-01-03 13:58:13,"3,001s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 13:58:13,2018-01-03 13:58:14,"0,607s",PASSED
,,,,,,
Test Cases/UsersModule/Block/Block User,Chrome 63.0.3239.108,,2018-01-03 13:58:14,2018-01-03 13:58:46,"32,632s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:58:14,2018-01-03 13:58:32,"17,725s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:58:32,2018-01-03 13:58:35,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:58:35,2018-01-03 13:58:35,"0,590s",PASSED
click,Chrome 63.0.3239.108,\u0411\u043B\u043E\u043A\u0438\u0440\u0443\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:58:35,2018-01-03 13:58:35,"0,296s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 13:58:36,2018-01-03 13:58:36,"0,001s",NOT_RUN
delay,Chrome 63.0.3239.108,,2018-01-03 13:58:36,2018-01-03 13:58:39,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u041E\u0442\u043C\u0435\u043D\u044F\u0435\u043C \u0431\u043B\u043E\u043A\u0438\u0440\u043E\u0432\u043A\u0443,2018-01-03 13:58:39,2018-01-03 13:58:39,"0,177s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:58:39,2018-01-03 13:58:42,"3,002s",PASSED
click,Chrome 63.0.3239.108,\u0411\u043B\u043E\u043A\u0438\u0440\u0443\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:58:42,2018-01-03 13:58:42,"0,245s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:58:42,2018-01-03 13:58:45,"3,002s",PASSED
click,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 13:58:45,2018-01-03 13:58:45,"0,002s",NOT_RUN
click,Chrome 63.0.3239.108,\u041F\u043E\u0434\u0442\u0432\u0435\u0440\u0436\u0434\u0430\u0435\u043C \u0431\u043B\u043E\u043A\u0438\u0440\u043E\u0432\u043A\u0443,2018-01-03 13:58:45,2018-01-03 13:58:45,"0,151s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043F\u043E\u0434\u0442\u0432\u0435\u0440\u0436\u0434\u0435\u043D\u0438\u0435 \u0431\u043B\u043E\u043A\u0438\u0440\u043E\u0432\u043A\u0438,2018-01-03 13:58:45,2018-01-03 13:58:46,"0,662s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 13:58:46,2018-01-03 13:58:46,"0,597s",PASSED
,,,,,,
Test Cases/UsersModule/Block/Unblock User,Chrome 63.0.3239.108,,2018-01-03 13:58:46,2018-01-03 13:59:05,"18,282s",FAILED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:58:47,2018-01-03 13:59:00,"13,711s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:59:00,2018-01-03 13:59:03,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:59:03,2018-01-03 13:59:04,"0,610s",PASSED
click,Chrome 63.0.3239.108,\u0420\u0430\u0437\u0431\u043B\u043E\u043A\u0438\u0440\u0443\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:59:04,2018-01-03 13:59:04,"0,316s",PASSED
click,Chrome 63.0.3239.108,\u041F\u043E\u0434\u0442\u0432\u0435\u0440\u0436\u0434\u0430\u0435\u043C \u0440\u0430\u0437\u0431\u043B\u043E\u043A\u0438\u0440\u043E\u0432\u043A\u0443,2018-01-03 13:59:04,2018-01-03 13:59:05,"0,464s",FAILED
,,,,,,
Test Cases/UsersModule/Change Right/Change all right,Chrome 63.0.3239.108,,2018-01-03 13:59:05,2018-01-03 13:59:37,"32,012s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 13:59:05,2018-01-03 13:59:19,"14,497s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:59:19,2018-01-03 13:59:22,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u0441\u043E\u0437\u0434\u0430\u043D\u043D\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:59:22,2018-01-03 13:59:23,"0,686s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:59:23,2018-01-03 13:59:26,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u0420\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u0443\u0435\u043C \u043F\u0440\u0430\u0432\u0430 \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:59:26,2018-01-03 13:59:26,"0,153s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 13:59:26,2018-01-03 13:59:27,"0,246s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0440\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u043E\u0432\u0430\u043D\u0438\u044F \u043F\u0440\u0430\u0432 \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:59:27,2018-01-03 13:59:27,"0,838s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:59:27,2018-01-03 13:59:30,"3,002s",PASSED
click,Chrome 63.0.3239.108,\u0420\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u0443\u0435\u043C \u043F\u0440\u0430\u0432\u0430 \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 13:59:30,2018-01-03 13:59:31,"0,093s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 13:59:31,2018-01-03 13:59:31,"0,211s",PASSED
click,Chrome 63.0.3239.108,\u0412\u044B\u0434\u0435\u043B\u044F\u0435\u043C \u0432\u0441\u0435 \u043F\u0440\u0430\u0432\u0430,2018-01-03 13:59:31,2018-01-03 13:59:31,"0,729s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 13:59:31,2018-01-03 13:59:34,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u0421\u043D\u0438\u043C\u0430\u0435\u043C \u0432\u0441\u0435 \u043F\u0440\u0430\u0432\u0430,2018-01-03 13:59:34,2018-01-03 13:59:35,"0,451s",PASSED
click,Chrome 63.0.3239.108,\u0421\u043E\u0445\u0440\u0430\u043D\u044F\u0435\u043C \u0438\u0437\u043C\u0435\u043D\u0435\u043D\u0438\u0435 \u043F\u0440\u0430\u0432,2018-01-03 13:59:35,2018-01-03 13:59:36,"0,641s",PASSED
