Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430 \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:34:03,2018-01-03 14:34:03,"0,005s",NOT_RUN
delay,Chrome 63.0.3239.108,,2018-01-03 14:34:03,2018-01-03 14:34:03,"0,001s",NOT_RUN
closeBrowser,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E,2018-01-03 14:34:03,2018-01-03 14:34:04,"0,654s",PASSED
,,,,,,
Test Cases/UsersModule/Edit/Delete name,Chrome 63.0.3239.108,,2018-01-03 14:34:04,2018-01-03 14:34:33,"28,754s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:34:04,2018-01-03 14:34:21,"16,939s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:34:21,2018-01-03 14:34:24,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:34:24,2018-01-03 14:34:25,"0,779s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u0445\u043E\u0434\u0438\u043C \u0432 \u0440\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u043E\u0432\u0430\u043D\u0438\u0435,2018-01-03 14:34:25,2018-01-03 14:34:25,"0,167s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,,2018-01-03 14:34:25,2018-01-03 14:34:25,"0,277s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:34:25,2018-01-03 14:34:28,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0423\u0434\u0430\u043B\u044F\u0435\u043C \u0438\u043C\u044F \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:34:28,2018-01-03 14:34:29,"0,178s",PASSED
click,Chrome 63.0.3239.108,\u0421\u043E\u0445\u0440\u0430\u043D\u044F\u0435\u043C,2018-01-03 14:34:29,2018-01-03 14:34:29,"0,236s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043D\u0430\u043B\u0438\u0447\u0438\u0435 \u0441\u043E\u043E\u0431\u0449\u0435\u043D\u0438\u044F \u043E\u0431 \u043E\u0448\u0438\u0431\u043A\u0435,2018-01-03 14:34:29,2018-01-03 14:34:29,"0,043s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:34:29,2018-01-03 14:34:32,"3,002s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 14:34:32,2018-01-03 14:34:33,"0,639s",PASSED
,,,,,,
Test Cases/UsersModule/Edit/Change password,Chrome 63.0.3239.108,,2018-01-03 14:34:33,2018-01-03 14:35:00,"27,675s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:34:33,2018-01-03 14:34:49,"15,780s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:34:49,2018-01-03 14:34:52,"3,003s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:34:52,2018-01-03 14:34:53,"0,685s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u0445\u043E\u0434\u0438\u043C \u0432 \u0440\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u043E\u0432\u0430\u043D\u0438\u0435,2018-01-03 14:34:53,2018-01-03 14:34:53,"0,211s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,,2018-01-03 14:34:53,2018-01-03 14:34:53,"0,266s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:34:53,2018-01-03 14:34:56,"3,003s",PASSED
click,Chrome 63.0.3239.108,\u0413\u0435\u043D\u0435\u0440\u0438\u043C \u043D\u043E\u0432\u044B\u0439 \u043F\u0430\u0440\u043E\u043B\u044C,2018-01-03 14:34:56,2018-01-03 14:34:56,"0,183s",PASSED
click,Chrome 63.0.3239.108,\u0421\u043E\u0445\u0440\u0430\u043D\u044F\u0435\u043C,2018-01-03 14:34:56,2018-01-03 14:34:57,"0,458s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430 \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u0430\u0440\u043E\u043B\u044F,2018-01-03 14:34:57,2018-01-03 14:34:57,"0,001s",NOT_RUN
delay,Chrome 63.0.3239.108,,2018-01-03 14:34:57,2018-01-03 14:35:00,"3,001s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 14:35:00,2018-01-03 14:35:00,"0,610s",PASSED
,,,,,,
Test Cases/UsersModule/Edit/Change name,Chrome 63.0.3239.108,,2018-01-03 14:35:00,2018-01-03 14:35:24,"24,002s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:35:01,2018-01-03 14:35:16,"15,515s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:35:16,2018-01-03 14:35:19,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:35:19,2018-01-03 14:35:20,"0,621s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u0445\u043E\u0434\u0438\u043C \u0432 \u0440\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u043E\u0432\u0430\u043D\u0438\u0435,2018-01-03 14:35:20,2018-01-03 14:35:20,"0,155s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 14:35:20,2018-01-03 14:35:20,"0,280s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:35:20,2018-01-03 14:35:23,"3,002s",PASSED
setText,Chrome 63.0.3239.108,\u041C\u0435\u043D\u044F\u0435\u043C \u0438\u043C\u044F \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:35:23,2018-01-03 14:35:23,"0,256s",PASSED
click,Chrome 63.0.3239.108,\u0421\u043E\u0445\u0440\u0430\u043D\u044F\u0435\u043C \u0438\u0437\u043C\u0435\u043D\u0435\u043D\u0438\u044F,2018-01-03 14:35:23,2018-01-03 14:35:24,"0,237s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043D\u0430\u043B\u0438\u0447\u0438\u0435 \u0441\u043E\u043E\u0431\u0449\u0435\u043D\u0438\u044F \u043E\u0431 \u0443\u0441\u043F\u0435\u0445\u0435,2018-01-03 14:35:24,2018-01-03 14:35:24,"0,001s",NOT_RUN
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 14:35:24,2018-01-03 14:35:24,"0,610s",PASSED
,,,,,,
Test Cases/UsersModule/Search/Search not existing user,Chrome 63.0.3239.108,,2018-01-03 14:35:24,2018-01-03 14:35:43,"19,130s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:35:25,2018-01-03 14:35:39,"14,111s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:35:39,2018-01-03 14:35:40,"0,797s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,"\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C, \u0447\u0442\u043E \u0442\u0430\u043A\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F \u043D\u0435 \u043D\u0430\u0439\u0434\u0435\u043D\u043E",2018-01-03 14:35:40,2018-01-03 14:35:40,"0,295s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:35:40,2018-01-03 14:35:43,"3,004s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 14:35:43,2018-01-03 14:35:43,"0,623s",PASSED
,,,,,,
Test Cases/UsersModule/Search/Search user,Chrome 63.0.3239.108,,2018-01-03 14:35:44,2018-01-03 14:36:08,"24,862s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:35:44,2018-01-03 14:35:58,"14,168s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:35:58,2018-01-03 14:36:01,"3,002s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u0441\u043E\u0437\u0434\u0430\u043D\u043D\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:36:01,2018-01-03 14:36:02,"0,711s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:36:02,2018-01-03 14:36:05,"3,001s",PASSED
click,Chrome 63.0.3239.108,"\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C, \u0447\u0442\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044C \u0431\u044B\u043B \u043D\u0430\u0439\u0434\u0435\u043D",2018-01-03 14:36:05,2018-01-03 14:36:05,"0,000s",NOT_RUN
delay,Chrome 63.0.3239.108,,2018-01-03 14:36:05,2018-01-03 14:36:08,"3,001s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 14:36:08,2018-01-03 14:36:08,"0,659s",PASSED
,,,,,,
Test Cases/UsersModule/Block/Block User,Chrome 63.0.3239.108,,2018-01-03 14:36:08,2018-01-03 14:36:40,"31,438s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:36:09,2018-01-03 14:36:25,"16,455s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:36:25,2018-01-03 14:36:28,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:36:28,2018-01-03 14:36:29,"0,628s",PASSED
click,Chrome 63.0.3239.108,\u0411\u043B\u043E\u043A\u0438\u0440\u0443\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:36:29,2018-01-03 14:36:29,"0,284s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 14:36:29,2018-01-03 14:36:29,"0,001s",NOT_RUN
delay,Chrome 63.0.3239.108,,2018-01-03 14:36:29,2018-01-03 14:36:32,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u041E\u0442\u043C\u0435\u043D\u044F\u0435\u043C \u0431\u043B\u043E\u043A\u0438\u0440\u043E\u0432\u043A\u0443,2018-01-03 14:36:32,2018-01-03 14:36:32,"0,171s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:36:32,2018-01-03 14:36:35,"3,002s",PASSED
click,Chrome 63.0.3239.108,\u0411\u043B\u043E\u043A\u0438\u0440\u0443\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:36:35,2018-01-03 14:36:35,"0,235s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:36:35,2018-01-03 14:36:38,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 14:36:38,2018-01-03 14:36:38,"0,000s",NOT_RUN
click,Chrome 63.0.3239.108,\u041F\u043E\u0434\u0442\u0432\u0435\u0440\u0436\u0434\u0430\u0435\u043C \u0431\u043B\u043E\u043A\u0438\u0440\u043E\u0432\u043A\u0443,2018-01-03 14:36:38,2018-01-03 14:36:39,"0,165s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043F\u043E\u0434\u0442\u0432\u0435\u0440\u0436\u0434\u0435\u043D\u0438\u0435 \u0431\u043B\u043E\u043A\u0438\u0440\u043E\u0432\u043A\u0438,2018-01-03 14:36:39,2018-01-03 14:36:39,"0,603s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 14:36:39,2018-01-03 14:36:40,"0,620s",PASSED
,,,,,,
Test Cases/UsersModule/Block/Unblock User,Chrome 63.0.3239.108,,2018-01-03 14:36:40,2018-01-03 14:37:03,"22,732s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:36:40,2018-01-03 14:36:54,"13,658s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:36:54,2018-01-03 14:36:57,"3,001s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:36:57,2018-01-03 14:36:58,"0,674s",PASSED
click,Chrome 63.0.3239.108,\u0420\u0430\u0437\u0431\u043B\u043E\u043A\u0438\u0440\u0443\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:36:58,2018-01-03 14:36:58,"0,377s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:36:58,2018-01-03 14:37:01,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u041F\u043E\u0434\u0442\u0432\u0435\u0440\u0436\u0434\u0430\u0435\u043C \u0440\u0430\u0437\u0431\u043B\u043E\u043A\u0438\u0440\u043E\u0432\u043A\u0443,2018-01-03 14:37:01,2018-01-03 14:37:01,"0,130s",PASSED
click,Chrome 63.0.3239.108,\u041F\u043E\u0434\u0442\u0432\u0435\u0440\u0436\u0434\u0430\u0435\u043C \u0440\u0430\u0437\u0431\u043B\u043E\u043A\u0438\u0440\u043E\u0432\u043A\u0443,2018-01-03 14:37:01,2018-01-03 14:37:01,"0,175s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043F\u043E\u0434\u0442\u0432\u0435\u0440\u0436\u0434\u0435\u043D\u0438\u0435 \u0440\u0430\u0437\u0431\u043B\u043E\u043A\u0438\u0440\u043E\u0432\u043A\u0438,2018-01-03 14:37:01,2018-01-03 14:37:02,"0,740s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 14:37:02,2018-01-03 14:37:03,"0,606s",PASSED
,,,,,,
Test Cases/UsersModule/Change Right/Change all right,Chrome 63.0.3239.108,,2018-01-03 14:37:03,2018-01-03 14:37:36,"33,020s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:37:03,2018-01-03 14:37:18,"15,352s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:37:18,2018-01-03 14:37:21,"3,002s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u0441\u043E\u0437\u0434\u0430\u043D\u043D\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:37:21,2018-01-03 14:37:22,"0,710s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:37:22,2018-01-03 14:37:25,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u0420\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u0443\u0435\u043C \u043F\u0440\u0430\u0432\u0430 \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:37:25,2018-01-03 14:37:25,"0,165s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 14:37:25,2018-01-03 14:37:26,"0,236s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0440\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u043E\u0432\u0430\u043D\u0438\u044F \u043F\u0440\u0430\u0432 \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:37:26,2018-01-03 14:37:26,"0,832s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:37:26,2018-01-03 14:37:29,"3,002s",PASSED
click,Chrome 63.0.3239.108,\u0420\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u0443\u0435\u043C \u043F\u0440\u0430\u0432\u0430 \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:37:29,2018-01-03 14:37:29,"0,096s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 14:37:29,2018-01-03 14:37:30,"0,217s",PASSED
click,Chrome 63.0.3239.108,\u0412\u044B\u0434\u0435\u043B\u044F\u0435\u043C \u0432\u0441\u0435 \u043F\u0440\u0430\u0432\u0430,2018-01-03 14:37:30,2018-01-03 14:37:30,"0,748s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:37:30,2018-01-03 14:37:33,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u0421\u043D\u0438\u043C\u0430\u0435\u043C \u0432\u0441\u0435 \u043F\u0440\u0430\u0432\u0430,2018-01-03 14:37:33,2018-01-03 14:37:34,"0,462s",PASSED
click,Chrome 63.0.3239.108,\u0421\u043E\u0445\u0440\u0430\u043D\u044F\u0435\u043C \u0438\u0437\u043C\u0435\u043D\u0435\u043D\u0438\u0435 \u043F\u0440\u0430\u0432,2018-01-03 14:37:34,2018-01-03 14:37:35,"0,655s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0441\u043E\u043E\u0431\u0449\u0435\u043D\u0438\u0435 \u0443\u0441\u043F\u0435\u0445\u0430 \u0438\u0437\u043C\u0435\u043D\u0435\u043D\u0438\u044F \u043F\u0440\u0430\u0432,2018-01-03 14:37:35,2018-01-03 14:37:35,"0,561s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 14:37:35,2018-01-03 14:37:36,"0,609s",PASSED
,,,,,,
Test Cases/UsersModule/Change Right/Change group right,Chrome 63.0.3239.108,,2018-01-03 14:37:36,2018-01-03 14:38:11,"35,558s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:37:37,2018-01-03 14:37:55,"17,993s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:37:55,2018-01-03 14:37:58,"3,003s",PASSED
setText,Chrome 63.0.3239.108,\u0418\u0449\u0435\u043C \u0441\u043E\u0437\u0434\u0430\u043D\u043D\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:37:58,2018-01-03 14:37:58,"0,675s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:37:58,2018-01-03 14:38:01,"3,001s",PASSED
click,Chrome 63.0.3239.108,\u0420\u0435\u0434\u0430\u043A\u0442\u0438\u0440\u0443\u0435\u043C \u043F\u0440\u0430\u0432\u0430 \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:38:01,2018-01-03 14:38:01,"0,146s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 14:38:01,2018-01-03 14:38:02,"0,239s",PASSED
click,Chrome 63.0.3239.108,\u0412\u044B\u0434\u0435\u043B\u044F\u0435\u043C \u0433\u0440\u0443\u043F\u043F\u0443 \u043F\u0440\u0430\u0432,2018-01-03 14:38:02,2018-01-03 14:38:03,"1,306s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:38:03,2018-01-03 14:38:06,"3,002s",PASSED
click,Chrome 63.0.3239.108,\u0421\u043D\u0438\u043C\u0430\u0435\u043C \u0433\u0440\u0443\u043F\u043F\u0443 \u043F\u0440\u0430\u0432,2018-01-03 14:38:06,2018-01-03 14:38:06,"0,505s",PASSED
