Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-12 11:56:51,2018-01-12 12:04:58,"8m - 7,157s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-12 11:56:52,2018-01-12 11:57:38,"46,749s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-12 11:56:53,2018-01-12 11:57:11,"18,131s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-12 11:57:11,2018-01-12 11:57:13,"2,282s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 11:57:13,2018-01-12 11:57:19,"5,442s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-12 11:57:19,2018-01-12 11:57:19,"0,447s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-12 11:57:19,2018-01-12 11:57:20,"1,121s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-12 11:57:20,2018-01-12 11:57:21,"0,641s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 11:57:21,2018-01-12 11:57:24,"3,019s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-12 11:57:24,2018-01-12 11:57:24,"0,146s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 11:57:24,2018-01-12 11:57:27,"3,004s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-12 11:57:27,2018-01-12 11:57:27,"0,152s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-12 11:57:27,2018-01-12 11:57:34,"6,628s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-12 11:57:34,2018-01-12 11:57:35,"1,545s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 11:57:35,2018-01-12 11:57:38,"3,003s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-12 11:57:38,2018-01-12 11:57:38,"0,001s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/3. FillingOperatingParameters,Chrome 63.0.3239.132,,2018-01-12 11:57:38,2018-01-12 12:04:57,"7m - 18,867s",FAILED
comment,Chrome 63.0.3239.132,,2018-01-12 11:57:39,2018-01-12 11:57:39,"0,013s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 11:57:39,2018-01-12 11:58:04,"25,276s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 11:58:04,2018-01-12 11:58:04,"0,001s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 11:58:04,2018-01-12 12:00:56,"2m - 51,659s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 12:00:56,2018-01-12 12:03:39,"2m - 43,474s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 12:03:39,2018-01-12 12:03:39,"0,002s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 12:03:39,2018-01-12 12:04:47,"1m - 8,029s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 12:04:47,2018-01-12 12:04:47,"0,001s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 12:04:47,2018-01-12 12:04:57,"10,043s",FAILED
