Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-12 15:57:28,2018-01-12 15:58:40,"1m - 11,943s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-12 15:57:29,2018-01-12 15:58:08,"38,934s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-12 15:57:29,2018-01-12 15:57:41,"11,474s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-12 15:57:41,2018-01-12 15:57:43,"1,845s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 15:57:43,2018-01-12 15:57:48,"5,286s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-12 15:57:48,2018-01-12 15:57:49,"0,488s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-12 15:57:49,2018-01-12 15:57:50,"1,080s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-12 15:57:50,2018-01-12 15:57:50,"0,657s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 15:57:50,2018-01-12 15:57:53,"3,016s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-12 15:57:53,2018-01-12 15:57:53,"0,136s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 15:57:53,2018-01-12 15:57:56,"3,003s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-12 15:57:56,2018-01-12 15:57:57,"0,138s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-12 15:57:57,2018-01-12 15:58:03,"6,509s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-12 15:58:03,2018-01-12 15:58:05,"1,482s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 15:58:05,2018-01-12 15:58:08,"3,003s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-12 15:58:08,2018-01-12 15:58:08,"0,002s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/4. FillingElementsVessel,Chrome 63.0.3239.132,,2018-01-12 15:58:08,2018-01-12 15:58:39,"31,453s",FAILED
click,Chrome 63.0.3239.132,"\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u043D\u0430 \u0432\u043A\u043B\u0430\u0434\u043A\u0443 \""\u042D\u043B\u0435\u043C\u0435\u043D\u0442\u044B \u0441\u043E\u0441\u0443\u0434\u0430\""",2018-01-12 15:58:08,2018-01-12 15:58:18,"9,738s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 15:58:18,2018-01-12 15:58:20,"2,266s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 15:58:20,2018-01-12 15:58:39,"19,222s",FAILED
