Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserModule,Chrome 63.0.3239.108,,2018-01-03 14:10:37,2018-01-03 14:17:08,"6m - 30,913s",FAILED
,,,,,,
Test Cases/UsersModule/Create/Create user with empty name,Chrome 63.0.3239.108,,2018-01-03 14:10:38,2018-01-03 14:11:16,"38,014s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:10:39,2018-01-03 14:11:02,"22,991s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:11:02,2018-01-03 14:11:05,"3,005s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:11:05,2018-01-03 14:11:06,"0,290s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:11:06,2018-01-03 14:11:09,"3,005s",PASSED
verifyTextPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u0437\u0430\u0433\u043E\u043B\u043E\u0432\u043E\u043A \u043E\u043A\u043D\u0430,2018-01-03 14:11:09,2018-01-03 14:11:10,"1,578s",PASSED
click,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E,2018-01-03 14:11:10,2018-01-03 14:11:11,"0,414s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:11:11,2018-01-03 14:11:14,"3,002s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F \u0431\u0435\u0437 \u0438\u043C\u0435\u043D\u0438,2018-01-03 14:11:14,2018-01-03 14:11:14,"0,204s",PASSED
click,Chrome 63.0.3239.108,\u041D\u0430\u0436\u0438\u043C\u0430\u0435\u043C \u043A\u043D\u043E\u043F\u043A\u0443 \u0414\u043E\u0431\u0430\u0432\u0438\u0442\u044C,2018-01-03 14:11:14,2018-01-03 14:11:15,"1,721s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043D\u0430\u043B\u0438\u0447\u0438\u0435 \u043E\u0448\u0438\u0431\u043A\u0438,2018-01-03 14:11:15,2018-01-03 14:11:16,"0,109s",PASSED
closeBrowser,Chrome 63.0.3239.108,,2018-01-03 14:11:16,2018-01-03 14:11:16,"0,634s",PASSED
,,,,,,
Test Cases/UsersModule/Create/Create existing user,Chrome 63.0.3239.108,,2018-01-03 14:11:16,2018-01-03 14:11:42,"26,121s",PASSED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:11:17,2018-01-03 14:11:32,"15,137s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:11:32,2018-01-03 14:11:35,"3,003s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:11:35,2018-01-03 14:11:35,"0,232s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:11:35,2018-01-03 14:11:38,"3,004s",PASSED
setText,Chrome 63.0.3239.108,\u0417\u0430\u0434\u0430\u0435\u043C \u0438\u043C\u044F \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:11:38,2018-01-03 14:11:38,"0,448s",PASSED
click,Chrome 63.0.3239.108,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-01-03 14:11:38,2018-01-03 14:11:39,"0,273s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:11:39,2018-01-03 14:11:42,"3,002s",PASSED
verifyElementPresent,Chrome 63.0.3239.108,\u041F\u0440\u043E\u0432\u0435\u0440\u044F\u0435\u043C \u043D\u0430\u043B\u0438\u0447\u0438\u0435 \u043E\u043A\u043D\u0430 \u043E\u0448\u0438\u0431\u043A\u0438,2018-01-03 14:11:42,2018-01-03 14:11:42,"0,044s",PASSED
closeBrowser,Chrome 63.0.3239.108,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E,2018-01-03 14:11:42,2018-01-03 14:11:42,"0,619s",PASSED
,,,,,,
Test Cases/UsersModule/Create/Create Valid User,Chrome 63.0.3239.108,,2018-01-03 14:11:42,2018-01-03 14:12:09,"26,522s",FAILED
callTestCase,Chrome 63.0.3239.108,,2018-01-03 14:11:43,2018-01-03 14:11:57,"14,691s",PASSED
delay,Chrome 63.0.3239.108,,2018-01-03 14:11:57,2018-01-03 14:12:00,"3,001s",PASSED
