Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-11 16:00:17,2018-01-11 16:01:52,"1m - 35,224s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-11 16:00:17,2018-01-11 16:01:07,"50,519s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-11 16:00:18,2018-01-11 16:00:33,"14,860s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-11 16:00:33,2018-01-11 16:00:37,"4,302s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-11 16:00:37,2018-01-11 16:00:47,"10,322s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-11 16:00:47,2018-01-11 16:00:48,"0,424s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-11 16:00:48,2018-01-11 16:00:50,"2,234s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-11 16:00:50,2018-01-11 16:00:50,"0,613s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:00:50,2018-01-11 16:00:53,"3,024s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-11 16:00:53,2018-01-11 16:00:54,"0,139s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:00:54,2018-01-11 16:00:57,"3,004s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-11 16:00:57,2018-01-11 16:00:57,"0,156s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-11 16:00:57,2018-01-11 16:01:03,"6,289s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-11 16:01:03,2018-01-11 16:01:04,"1,459s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:01:04,2018-01-11 16:01:07,"3,001s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-11 16:01:07,2018-01-11 16:01:07,"0,001s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/FillingOperatingParameters,Chrome 63.0.3239.132,,2018-01-11 16:01:08,2018-01-11 16:01:51,"43,431s",FAILED
comment,Chrome 63.0.3239.132,,2018-01-11 16:01:08,2018-01-11 16:01:08,"0,013s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:01:08,2018-01-11 16:01:17,"9,507s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-11 16:01:17,2018-01-11 16:01:19,"1,782s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:01:19,2018-01-11 16:01:20,"0,461s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:01:20,2018-01-11 16:01:23,"3,003s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:01:23,2018-01-11 16:01:23,"0,144s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:01:23,2018-01-11 16:01:26,"3,002s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:01:26,2018-01-11 16:01:26,"0,146s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:01:26,2018-01-11 16:01:32,"5,984s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-11 16:01:32,2018-01-11 16:01:32,"0,002s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:01:32,2018-01-11 16:01:51,"19,067s",FAILED
