Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-12 11:11:10,2018-01-12 11:12:28,"1m - 17,828s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-12 11:11:10,2018-01-12 11:11:52,"42,267s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-12 11:11:11,2018-01-12 11:11:25,"13,727s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-12 11:11:25,2018-01-12 11:11:28,"3,120s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 11:11:28,2018-01-12 11:11:33,"5,200s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-12 11:11:33,2018-01-12 11:11:33,"0,427s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-12 11:11:33,2018-01-12 11:11:35,"1,112s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-12 11:11:35,2018-01-12 11:11:35,"0,617s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 11:11:35,2018-01-12 11:11:38,"3,019s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-12 11:11:38,2018-01-12 11:11:38,"0,140s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 11:11:38,2018-01-12 11:11:41,"3,003s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-12 11:11:41,2018-01-12 11:11:41,"0,150s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-12 11:11:41,2018-01-12 11:11:48,"6,428s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-12 11:11:48,2018-01-12 11:11:49,"1,531s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 11:11:49,2018-01-12 11:11:52,"3,002s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-12 11:11:52,2018-01-12 11:11:52,"0,001s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/3. FillingOperatingParameters,Chrome 63.0.3239.132,,2018-01-12 11:11:53,2018-01-12 11:12:27,"34,156s",FAILED
comment,Chrome 63.0.3239.132,,2018-01-12 11:11:53,2018-01-12 11:11:53,"0,013s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 11:11:53,2018-01-12 11:12:20,"26,679s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 11:12:20,2018-01-12 11:12:20,"0,003s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 11:12:20,2018-01-12 11:12:27,"7,046s",FAILED
