Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-11 15:09:57,2018-01-11 15:16:25,"6m - 27,335s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-11 15:09:58,2018-01-11 15:10:42,"44,097s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-11 15:09:58,2018-01-11 15:10:11,"12,806s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-11 15:10:11,2018-01-11 15:10:15,"3,567s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-11 15:10:15,2018-01-11 15:10:23,"7,859s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-11 15:10:23,2018-01-11 15:10:23,"0,421s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-11 15:10:23,2018-01-11 15:10:24,"1,105s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-11 15:10:24,2018-01-11 15:10:25,"0,626s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 15:10:25,2018-01-11 15:10:28,"3,021s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-11 15:10:28,2018-01-11 15:10:28,"0,137s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 15:10:28,2018-01-11 15:10:31,"3,003s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-11 15:10:31,2018-01-11 15:10:31,"0,145s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-11 15:10:31,2018-01-11 15:10:37,"6,271s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-11 15:10:37,2018-01-11 15:10:39,"1,468s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 15:10:39,2018-01-11 15:10:42,"3,003s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-11 15:10:42,2018-01-11 15:10:42,"0,005s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/2. FillingGeneralInformation,Chrome 63.0.3239.132,,2018-01-11 15:10:42,2018-01-11 15:15:58,"5m - 16,553s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-11 15:10:42,2018-01-11 15:10:42,"0,002s",NOT_RUN
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-11 15:10:42,2018-01-11 15:10:42,"0,001s",NOT_RUN
delay,Chrome 63.0.3239.132,,2018-01-11 15:10:42,2018-01-11 15:10:45,"3,012s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-11 15:10:45,2018-01-11 15:10:45,"0,016s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u0437 \u0441\u0435\u043B\u0435\u043A\u0442\u0430 \u0442\u0438\u043F \u0441\u043E\u0441\u0443\u0434\u0430,2018-01-11 15:10:45,2018-01-11 15:10:46,"0,311s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 15:10:46,2018-01-11 15:10:49,"3,002s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 15:10:49,2018-01-11 15:10:49,"0,174s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u0434\u0430\u0435\u043C \u043D\u0430\u0438\u043C\u0435\u043D\u043E\u0432\u0430\u043D\u0438\u0435,2018-01-11 15:10:49,2018-01-11 15:11:00,"10,932s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u0437 \u0441\u0435\u043B\u0435\u043A\u0442\u0430 \u0443\u0447\u0435\u0442 \u0432 \u0420\u0422\u041D,2018-01-11 15:11:00,2018-01-11 15:11:00,"0,269s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 15:11:00,2018-01-11 15:11:03,"3,002s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 15:11:03,2018-01-11 15:11:03,"0,161s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u0432\u043E\u0434\u0441\u043A\u043E\u0439 \u043D\u043E\u043C\u0435\u0440,2018-01-11 15:11:03,2018-01-11 15:11:13,"9,670s",PASSED
setText,Chrome 63.0.3239.132,\u0418\u043D\u0432\u0435\u043D\u0442\u0440\u0430\u043D\u044B\u0439 \u043D\u043E\u043C\u0435\u0440,2018-01-11 15:11:13,2018-01-11 15:11:23,"10,156s",PASSED
