Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-12 12:48:41,2018-01-12 12:57:13,"8m - 32,620s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-12 12:48:41,2018-01-12 12:49:21,"39,903s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-12 12:48:42,2018-01-12 12:48:53,"10,923s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-12 12:48:53,2018-01-12 12:48:56,"2,926s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 12:48:56,2018-01-12 12:49:02,"5,928s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-12 12:49:02,2018-01-12 12:49:02,"0,439s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-12 12:49:02,2018-01-12 12:49:03,"1,087s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-12 12:49:03,2018-01-12 12:49:04,"0,633s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 12:49:04,2018-01-12 12:49:07,"3,016s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-12 12:49:07,2018-01-12 12:49:07,"0,141s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 12:49:07,2018-01-12 12:49:10,"3,002s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-12 12:49:10,2018-01-12 12:49:10,"0,143s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-12 12:49:10,2018-01-12 12:49:17,"6,445s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-12 12:49:17,2018-01-12 12:49:18,"1,522s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 12:49:18,2018-01-12 12:49:21,"3,006s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-12 12:49:21,2018-01-12 12:49:21,"0,003s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/3. FillingOperatingParameters,Chrome 63.0.3239.132,,2018-01-12 12:49:21,2018-01-12 12:57:13,"7m - 51,382s",FAILED
comment,Chrome 63.0.3239.132,,2018-01-12 12:49:22,2018-01-12 12:49:22,"0,021s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 12:49:22,2018-01-12 12:49:45,"23,316s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 12:49:45,2018-01-12 12:49:45,"0,001s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 12:49:45,2018-01-12 12:52:45,"3m - 0,354s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 12:52:45,2018-01-12 12:55:42,"2m - 56,786s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 12:55:42,2018-01-12 12:55:42,"0,002s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 12:55:42,2018-01-12 12:56:51,"1m - 8,496s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 12:56:51,2018-01-12 12:56:51,"0,001s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 12:56:51,2018-01-12 12:57:13,"22,072s",FAILED
