Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-12 13:02:54,2018-01-12 13:17:04,"14m - 10,785s",PASSED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-12 13:02:54,2018-01-12 13:03:33,"38,542s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-12 13:02:55,2018-01-12 13:03:04,"9,278s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-12 13:03:04,2018-01-12 13:03:07,"3,214s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 13:03:07,2018-01-12 13:03:13,"5,705s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-12 13:03:13,2018-01-12 13:03:13,"0,470s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-12 13:03:13,2018-01-12 13:03:15,"1,102s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-12 13:03:15,2018-01-12 13:03:15,"0,603s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 13:03:15,2018-01-12 13:03:18,"3,016s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-12 13:03:18,2018-01-12 13:03:18,"0,177s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 13:03:18,2018-01-12 13:03:21,"3,004s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-12 13:03:21,2018-01-12 13:03:22,"0,182s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-12 13:03:22,2018-01-12 13:03:28,"6,520s",PASSED
