Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-12 16:39:42,2018-01-12 16:44:03,"4m - 21,590s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-12 16:39:42,2018-01-12 16:40:27,"45,090s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-12 16:39:43,2018-01-12 16:39:55,"12,029s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-12 16:39:55,2018-01-12 16:39:58,"3,129s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 16:39:58,2018-01-12 16:40:06,"8,226s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-12 16:40:06,2018-01-12 16:40:07,"0,458s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-12 16:40:07,2018-01-12 16:40:09,"2,399s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-12 16:40:09,2018-01-12 16:40:10,"0,664s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 16:40:10,2018-01-12 16:40:13,"3,017s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-12 16:40:13,2018-01-12 16:40:13,"0,167s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 16:40:13,2018-01-12 16:40:16,"3,003s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-12 16:40:16,2018-01-12 16:40:16,"0,139s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-12 16:40:16,2018-01-12 16:40:23,"6,492s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-12 16:40:23,2018-01-12 16:40:24,"1,577s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 16:40:24,2018-01-12 16:40:27,"3,001s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-12 16:40:27,2018-01-12 16:40:27,"0,002s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/4. FillingElementsVessel,Chrome 63.0.3239.132,,2018-01-12 16:40:27,2018-01-12 16:44:02,"3m - 35,073s",FAILED
click,Chrome 63.0.3239.132,"\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u043D\u0430 \u0432\u043A\u043B\u0430\u0434\u043A\u0443 \""\u042D\u043B\u0435\u043C\u0435\u043D\u0442\u044B \u0441\u043E\u0441\u0443\u0434\u0430\""",2018-01-12 16:40:28,2018-01-12 16:40:36,"7,930s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 16:40:36,2018-01-12 16:40:39,"3,871s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 16:40:39,2018-01-12 16:40:39,"0,010s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 16:40:39,2018-01-12 16:44:02,"3m - 22,816s",FAILED
