Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-12 11:14:27,2018-01-12 11:22:51,"8m - 23,145s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-12 11:14:28,2018-01-12 11:15:12,"43,913s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-12 11:14:29,2018-01-12 11:14:41,"12,107s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-12 11:14:41,2018-01-12 11:14:44,"2,858s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 11:14:44,2018-01-12 11:14:52,"7,978s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-12 11:14:52,2018-01-12 11:14:52,"0,473s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-12 11:14:52,2018-01-12 11:14:53,"1,152s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-12 11:14:53,2018-01-12 11:14:54,"0,648s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 11:14:54,2018-01-12 11:14:57,"3,017s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-12 11:14:57,2018-01-12 11:14:57,"0,154s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 11:14:57,2018-01-12 11:15:00,"3,004s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-12 11:15:00,2018-01-12 11:15:00,"0,154s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-12 11:15:00,2018-01-12 11:15:07,"7,021s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-12 11:15:07,2018-01-12 11:15:09,"1,491s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 11:15:09,2018-01-12 11:15:12,"3,003s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-12 11:15:12,2018-01-12 11:15:12,"0,002s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/3. FillingOperatingParameters,Chrome 63.0.3239.132,,2018-01-12 11:15:12,2018-01-12 11:22:50,"7m - 37,924s",FAILED
comment,Chrome 63.0.3239.132,,2018-01-12 11:15:12,2018-01-12 11:15:12,"0,019s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 11:15:12,2018-01-12 11:15:41,"28,548s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 11:15:41,2018-01-12 11:15:41,"0,001s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 11:15:41,2018-01-12 11:18:29,"2m - 48,442s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 11:18:29,2018-01-12 11:21:25,"2m - 55,709s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 11:21:25,2018-01-12 11:21:25,"0,003s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 11:21:25,2018-01-12 11:22:50,"1m - 24,861s",FAILED
