Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-11 16:25:09,2018-01-11 16:26:17,"1m - 7,762s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-11 16:25:10,2018-01-11 16:25:48,"38,214s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-11 16:25:10,2018-01-11 16:25:20,"9,813s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-11 16:25:20,2018-01-11 16:25:22,"2,010s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-11 16:25:22,2018-01-11 16:25:28,"6,117s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-11 16:25:28,2018-01-11 16:25:29,"0,416s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-11 16:25:29,2018-01-11 16:25:30,"1,113s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-11 16:25:30,2018-01-11 16:25:31,"0,657s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:25:31,2018-01-11 16:25:34,"3,025s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-11 16:25:34,2018-01-11 16:25:34,"0,133s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:25:34,2018-01-11 16:25:37,"3,003s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-11 16:25:37,2018-01-11 16:25:37,"0,143s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-11 16:25:37,2018-01-11 16:25:43,"6,410s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-11 16:25:43,2018-01-11 16:25:45,"1,477s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:25:45,2018-01-11 16:25:48,"3,001s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-11 16:25:48,2018-01-11 16:25:48,"0,002s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/FillingOperatingParameters,Chrome 63.0.3239.132,,2018-01-11 16:25:48,2018-01-11 16:26:16,"28,133s",FAILED
comment,Chrome 63.0.3239.132,,2018-01-11 16:25:48,2018-01-11 16:25:48,"0,016s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:25:48,2018-01-11 16:25:56,"7,441s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-11 16:25:56,2018-01-11 16:25:59,"3,401s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:25:59,2018-01-11 16:26:00,"0,519s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:26:00,2018-01-11 16:26:03,"3,004s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:26:03,2018-01-11 16:26:03,"0,431s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:26:03,2018-01-11 16:26:06,"3,002s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:26:06,2018-01-11 16:26:06,"0,165s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:26:06,2018-01-11 16:26:12,"6,135s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-11 16:26:12,2018-01-11 16:26:12,"0,003s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:26:12,2018-01-11 16:26:16,"3,580s",FAILED
