Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-11 16:20:53,2018-01-11 16:22:08,"1m - 15,653s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-11 16:20:53,2018-01-11 16:21:35,"41,832s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-11 16:20:54,2018-01-11 16:21:08,"13,728s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-11 16:21:08,2018-01-11 16:21:11,"3,278s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-11 16:21:11,2018-01-11 16:21:16,"5,011s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-11 16:21:16,2018-01-11 16:21:16,"0,404s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-11 16:21:16,2018-01-11 16:21:17,"1,078s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-11 16:21:17,2018-01-11 16:21:18,"0,622s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:21:18,2018-01-11 16:21:21,"3,028s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-11 16:21:21,2018-01-11 16:21:21,"0,133s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:21:21,2018-01-11 16:21:24,"3,004s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-11 16:21:24,2018-01-11 16:21:24,"0,136s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-11 16:21:24,2018-01-11 16:21:31,"6,226s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-11 16:21:31,2018-01-11 16:21:32,"1,474s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:21:32,2018-01-11 16:21:35,"3,003s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-11 16:21:35,2018-01-11 16:21:35,"0,003s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/FillingOperatingParameters,Chrome 63.0.3239.132,,2018-01-11 16:21:35,2018-01-11 16:22:08,"32,557s",FAILED
comment,Chrome 63.0.3239.132,,2018-01-11 16:21:35,2018-01-11 16:21:35,"0,012s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:21:35,2018-01-11 16:21:44,"8,084s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-11 16:21:44,2018-01-11 16:21:46,"2,641s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:21:46,2018-01-11 16:21:47,"0,403s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:21:47,2018-01-11 16:21:50,"3,002s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:21:50,2018-01-11 16:21:50,"0,138s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-11 16:21:50,2018-01-11 16:21:53,"3,002s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:21:53,2018-01-11 16:21:53,"0,163s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:21:53,2018-01-11 16:21:59,"5,954s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-11 16:21:59,2018-01-11 16:21:59,"0,002s",PASSED
click,Chrome 63.0.3239.132,,2018-01-11 16:21:59,2018-01-11 16:22:08,"8,729s",FAILED
